vendor_id,num_passengers,tip,price,dropoff_time,pickup_time,distance
2,1,0.0,6.8,2018-11-01 00:13:29,2018-11-01 00:08:36,0.76
1,1,3.0,21.3,2018-11-01 00:31:45,2018-11-01 00:08:37,3.9
2,1,0.0,11.3,2018-11-01 00:21:33,2018-11-01 00:08:40,1.78
2,1,1.96,11.76,2018-11-01 00:20:28,2018-11-01 00:08:46,0.25
2,1,1.36,8.16,2018-11-01 00:15:00,2018-11-01 00:08:47,0.81
2,2,0.0,6.8,2018-11-01 00:14:12,2018-11-01 00:08:53,0.98
2,1,0.0,12.8,2018-11-01 00:21:43,2018-11-01 00:08:59,2.61
2,6,1.5,15.3,2018-11-01 00:23:13,2018-11-01 00:08:59,2.98
1,1,1.0,11.8,2018-11-01 00:21:43,2018-11-01 00:09:01,1.7
2,1,3.08,15.38,2018-11-01 00:27:19,2018-11-01 00:09:19,0.2
4,1,0.0,5.8,2018-11-01 00:12:50,2018-11-01 00:09:23,0.75
1,1,1.0,14.8,2018-11-01 00:24:47,2018-11-01 00:09:26,2.8
1,1,0.0,32.8,2018-11-01 00:48:43,2018-11-01 00:09:27,8.1
1,1,2.0,17.8,2018-11-01 00:23:41,2018-11-01 00:09:33,4.3
2,1,2.26,13.56,2018-11-01 00:24:03,2018-11-01 00:09:36,1.55
2,2,1.26,7.56,2018-11-01 00:13:45,2018-11-01 00:09:38,0.7
1,1,2.6,11.4,2018-11-01 00:18:40,2018-11-01 00:09:42,1.3
2,3,1.46,8.76,2018-11-01 00:14:20,2018-11-01 00:09:44,1.02
2,1,0.0,8.8,2018-11-01 00:18:10,2018-11-01 00:09:46,1.22
2,1,0.0,6.3,2018-11-01 00:13:59,2018-11-01 00:09:51,0.6
1,2,1.0,12.8,2018-11-01 00:24:15,2018-11-01 00:09:51,1.8
2,1,4.5,40.3,2018-11-01 00:10:14,2018-11-01 00:09:53,0.0
2,6,3.86,23.16,2018-11-01 00:27:07,2018-11-01 00:09:58,5.23
2,1,1.45,7.25,2018-11-01 00:13:51,2018-11-01 00:09:59,0.45
2,1,0.0,6.3,2018-11-01 00:13:58,2018-11-01 00:09:59,0.66
2,1,1.46,8.76,2018-11-01 00:15:53,2018-11-01 00:10:04,1.02
1,2,2.05,12.35,2018-11-01 00:19:12,2018-11-01 00:10:12,2.1
2,1,3.16,18.96,2018-11-01 00:26:33,2018-11-01 00:10:16,3.35
1,1,0.0,17.3,2018-11-01 00:28:43,2018-11-01 00:10:17,4.2
1,1,0.95,5.75,2018-11-01 00:12:38,2018-11-01 00:10:21,0.3
2,1,0.0,4.8,2018-11-01 00:13:13,2018-11-01 00:10:21,0.02
1,1,0.0,19.8,2018-11-01 00:32:35,2018-11-01 00:10:24,4.3
2,1,2.79,12.09,2018-11-01 00:20:17,2018-11-01 00:10:30,1.35
2,6,4.46,26.76,2018-11-01 00:31:51,2018-11-01 00:10:34,6.17
2,1,0.0,14.8,2018-11-01 00:21:37,2018-11-01 00:10:34,4.21
2,3,1.5,11.3,2018-11-01 00:20:09,2018-11-01 00:10:35,1.84
2,1,0.0,11.3,2018-11-01 00:24:36,2018-11-01 00:10:41,1.42
1,2,3.85,23.15,2018-11-01 00:31:56,2018-11-01 00:10:41,5.2
1,2,1.0,9.3,2018-11-01 00:18:09,2018-11-01 00:10:41,1.4
2,1,3.06,18.36,2018-11-01 00:31:46,2018-11-01 00:10:41,2.31
2,1,1.0,12.8,2018-11-01 00:23:07,2018-11-01 00:10:42,2.13
1,1,1.65,9.95,2018-11-01 00:19:05,2018-11-01 00:10:43,0.8
2,1,1.08,9.88,2018-11-01 00:20:13,2018-11-01 00:10:51,1.38
1,1,0.0,20.3,2018-11-01 00:11:52,2018-11-01 00:10:52,0.0
2,1,2.08,10.38,2018-11-01 00:16:22,2018-11-01 00:10:53,1.76
1,1,0.0,5.8,2018-11-01 00:14:11,2018-11-01 00:10:54,0.7
2,1,2.06,12.36,2018-11-01 00:21:03,2018-11-01 00:10:54,2.18
1,1,2.25,13.55,2018-11-01 00:25:21,2018-11-01 00:10:55,1.0
1,1,0.0,6.8,2018-11-01 00:15:37,2018-11-01 00:11:00,0.8
2,1,1.06,6.36,2018-11-01 00:13:27,2018-11-01 00:11:01,0.62
1,2,2.0,9.3,2018-11-01 00:16:52,2018-11-01 00:11:01,0.6
2,1,0.0,7.3,2018-11-01 00:15:51,2018-11-01 00:11:03,1.24
1,1,2.85,17.15,2018-11-01 00:26:19,2018-11-01 00:11:06,3.1
2,1,0.0,12.8,2018-11-01 00:23:20,2018-11-01 00:11:07,2.76
2,1,1.66,9.96,2018-11-01 00:20:57,2018-11-01 00:11:12,0.44
2,2,1.0,16.3,2018-11-01 00:27:12,2018-11-01 00:11:13,3.69
1,1,1.95,9.75,2018-11-01 00:18:30,2018-11-01 00:11:21,0.9
2,1,0.0,8.8,2018-11-01 00:22:21,2018-11-01 00:11:26,0.41
1,1,1.66,9.96,2018-11-01 00:19:59,2018-11-01 00:11:28,0.8
2,2,3.26,19.56,2018-11-01 00:28:03,2018-11-01 00:11:30,3.93
1,1,4.15,24.95,2018-11-01 00:41:47,2018-11-01 00:11:36,3.6
1,4,0.01,13.81,2018-11-01 00:27:38,2018-11-01 00:11:38,2.2
1,1,0.0,6.8,2018-11-01 00:16:10,2018-11-01 00:11:39,0.9
